max_length,chunk_long,agg,batch_size,decision_mode,top_p_threshold,ovr_threshold,collapse_neutral,acc_3class_filtered,macro_f1_3class_filtered,kept_fraction,pred_label_distribution
128,1,mean,16,top_p,0.7,,0,0.8339100346020761,0.6802968960863698,0.578,"{0: 130, 1: 11, 2: 148, 3: 211}"
128,1,mean,16,one_vs_rest,0.0,0.7,0,0.8339100346020761,0.6802968960863698,0.578,"{0: 130, 1: 11, 2: 148, 3: 211}"
128,1,mean,32,top_p,0.7,,0,0.8339100346020761,0.6802968960863698,0.578,"{0: 130, 1: 11, 2: 148, 3: 211}"
128,1,mean,32,one_vs_rest,0.0,0.7,0,0.8339100346020761,0.6802968960863698,0.578,"{0: 130, 1: 11, 2: 148, 3: 211}"
128,1,max,16,top_p,0.7,,0,0.8273381294964028,0.6647589394142405,0.556,"{0: 126, 1: 10, 2: 142, 3: 222}"
128,1,max,16,one_vs_rest,0.0,0.7,0,0.8273381294964028,0.6647589394142405,0.556,"{0: 126, 1: 10, 2: 142, 3: 222}"
128,1,max,32,top_p,0.7,,0,0.8273381294964028,0.6647589394142405,0.556,"{0: 126, 1: 10, 2: 142, 3: 222}"
128,1,max,32,one_vs_rest,0.0,0.7,0,0.8273381294964028,0.6647589394142405,0.556,"{0: 126, 1: 10, 2: 142, 3: 222}"
128,1,max,16,top_p,0.6,,0,0.7970588235294118,0.6616171660997104,0.68,"{0: 158, 1: 23, 2: 159, 3: 160}"
128,1,max,16,one_vs_rest,0.0,0.6,0,0.7970588235294118,0.6616171660997104,0.68,"{0: 158, 1: 23, 2: 159, 3: 160}"
128,1,max,32,top_p,0.6,,0,0.7970588235294118,0.6616171660997104,0.68,"{0: 158, 1: 23, 2: 159, 3: 160}"
128,1,max,32,one_vs_rest,0.0,0.6,0,0.7970588235294118,0.6616171660997104,0.68,"{0: 158, 1: 23, 2: 159, 3: 160}"
128,1,mean,16,top_p,0.6,,0,0.7878787878787878,0.660823082120091,0.726,"{0: 163, 1: 31, 2: 169, 3: 137}"
128,1,mean,16,one_vs_rest,0.0,0.6,0,0.7878787878787878,0.660823082120091,0.726,"{0: 163, 1: 31, 2: 169, 3: 137}"
128,1,mean,32,top_p,0.6,,0,0.7878787878787878,0.660823082120091,0.726,"{0: 163, 1: 31, 2: 169, 3: 137}"
128,1,mean,32,one_vs_rest,0.0,0.6,0,0.7878787878787878,0.660823082120091,0.726,"{0: 163, 1: 31, 2: 169, 3: 137}"
128,0,mean,16,top_p,0.7,,0,0.808955223880597,0.6560769230769231,0.67,"{0: 139, 1: 15, 2: 181, 3: 165}"
128,0,mean,16,one_vs_rest,0.0,0.7,0,0.808955223880597,0.6560769230769231,0.67,"{0: 139, 1: 15, 2: 181, 3: 165}"
128,0,mean,32,top_p,0.7,,0,0.808955223880597,0.6560769230769231,0.67,"{0: 139, 1: 15, 2: 181, 3: 165}"
128,0,mean,32,one_vs_rest,0.0,0.7,0,0.808955223880597,0.6560769230769231,0.67,"{0: 139, 1: 15, 2: 181, 3: 165}"
256,0,mean,16,top_p,0.7,,0,0.8157099697885196,0.6518289495634767,0.662,"{0: 136, 1: 14, 2: 181, 3: 169}"
256,0,mean,16,one_vs_rest,0.0,0.7,0,0.8157099697885196,0.6518289495634767,0.662,"{0: 136, 1: 14, 2: 181, 3: 169}"
256,0,mean,32,top_p,0.7,,0,0.8157099697885196,0.6518289495634767,0.662,"{0: 136, 1: 14, 2: 181, 3: 169}"
256,0,mean,32,one_vs_rest,0.0,0.7,0,0.8157099697885196,0.6518289495634767,0.662,"{0: 136, 1: 14, 2: 181, 3: 169}"
256,1,max,16,top_p,0.7,,0,0.821656050955414,0.6504800898388596,0.628,"{0: 135, 1: 11, 2: 168, 3: 186}"
256,1,max,16,one_vs_rest,0.0,0.7,0,0.821656050955414,0.6504800898388596,0.628,"{0: 135, 1: 11, 2: 168, 3: 186}"
256,1,max,32,top_p,0.7,,0,0.821656050955414,0.6504800898388596,0.628,"{0: 135, 1: 11, 2: 168, 3: 186}"
256,1,max,32,one_vs_rest,0.0,0.7,0,0.821656050955414,0.6504800898388596,0.628,"{0: 135, 1: 11, 2: 168, 3: 186}"
384,1,max,16,top_p,0.7,,0,0.8240740740740741,0.6499739186181248,0.648,"{0: 135, 1: 12, 2: 177, 3: 176}"
384,1,max,16,one_vs_rest,0.0,0.7,0,0.8240740740740741,0.6499739186181248,0.648,"{0: 135, 1: 12, 2: 177, 3: 176}"
384,1,max,32,top_p,0.7,,0,0.8240740740740741,0.6499739186181248,0.648,"{0: 135, 1: 12, 2: 177, 3: 176}"
384,1,max,32,one_vs_rest,0.0,0.7,0,0.8240740740740741,0.6499739186181248,0.648,"{0: 135, 1: 12, 2: 177, 3: 176}"
256,1,mean,16,top_p,0.7,,0,0.8207547169811321,0.6486822210045361,0.636,"{0: 135, 1: 12, 2: 171, 3: 182}"
256,1,mean,16,one_vs_rest,0.0,0.7,0,0.8207547169811321,0.6486822210045361,0.636,"{0: 135, 1: 12, 2: 171, 3: 182}"
256,1,mean,32,top_p,0.7,,0,0.8207547169811321,0.6486822210045361,0.636,"{0: 135, 1: 12, 2: 171, 3: 182}"
